video_name,aircraft,visibility,mist,fog,haze,sky_cover_l1,cloud_height_l1,rain,snow,video_name_datetime
1_2022-09-03-09-10-22,2,10.0,False,False,False,SCT,9500,False,False,2022-09-03 09:10:22+00:00
1_2022-09-03-09-15-50,4,10.0,False,False,False,SCT,9500,False,False,2022-09-03 09:15:50+00:00
1_2022-09-03-09-26-44,4,10.0,False,False,False,SCT,9500,False,False,2022-09-03 09:26:44+00:00
1_2022-09-03-09-33-07,3,10.0,False,False,False,SCT,9500,False,False,2022-09-03 09:33:07+00:00
1_2022-09-03-10-09-52,2,10.0,False,False,False,FEW,3000,False,False,2022-09-03 10:09:52+00:00
1_2022-09-03-10-15-13,4,10.0,False,False,False,FEW,3000,False,False,2022-09-03 10:15:13+00:00
1_2022-09-03-10-24-15,1,10.0,False,False,False,FEW,3000,False,False,2022-09-03 10:24:15+00:00
1_2022-09-03-11-07-25,6,10.0,False,False,False,FEW,4100,False,False,2022-09-03 11:07:25+00:00
1_2022-09-03-11-34-30,6,10.0,False,False,False,FEW,4100,False,False,2022-09-03 11:34:30+00:00
1_2022-09-03-14-19-28,4,10.0,False,False,False,OVC,11000,False,False,2022-09-03 14:19:28+00:00
1_2022-09-03-15-57-58,4,9.0,False,False,False,BKN,9500,False,False,2022-09-03 15:57:58+00:00
1_2022-09-03-16-47-54,1,9.0,False,False,False,BKN,9500,False,False,2022-09-03 16:47:54+00:00
1_2022-09-03-17-13-04,1,9.0,False,False,False,BKN,9000,False,False,2022-09-03 17:13:04+00:00
1_2022-09-03-18-04-33,1,10.0,False,False,False,BKN,7000,False,False,2022-09-03 18:04:33+00:00
1_2022-09-03-18-09-37,3,10.0,False,False,False,BKN,7000,False,False,2022-09-03 18:09:37+00:00
1_2022-09-04-09-02-50,2,9.0,False,False,False,BKN,11000,False,False,2022-09-04 09:02:50+00:00
1_2022-09-04-13-35-42,1,7.0,False,False,False,BKN,12000,False,False,2022-09-04 13:35:42+00:00
1_2022-09-04-14-43-28,2,9.0,False,False,False,OVC,11000,False,False,2022-09-04 14:43:28+00:00
1_2022-09-04-18-58-32,1,7.0,False,False,False,SCT,8500,False,False,2022-09-04 18:58:32+00:00
1_2022-09-05-10-24-09,2,6.0,True,False,False,SCT,600,True,False,2022-09-05 10:24:09+00:00
1_2022-09-07-18-39-43,5,10.0,False,False,False,OVC,1400,False,False,2022-09-07 18:39:43+00:00
1_2022-09-08-09-35-27,3,10.0,False,False,False,SCT,3400,False,False,2022-09-08 09:35:27+00:00
1_2022-09-08-10-55-37,2,10.0,False,False,False,CLR,M,False,False,2022-09-08 10:55:37+00:00
1_2022-09-08-11-18-29,3,10.0,False,False,False,FEW,4400,False,False,2022-09-08 11:18:29+00:00
1_2022-09-08-11-22-20,2,10.0,False,False,False,FEW,4400,False,False,2022-09-08 11:22:20+00:00
1_2022-09-08-14-36-22,3,10.0,False,False,False,CLR,M,False,False,2022-09-08 14:36:22+00:00
1_2022-09-08-14-42-55,2,10.0,False,False,False,CLR,M,False,False,2022-09-08 14:42:55+00:00
1_2022-09-08-14-53-50,4,10.0,False,False,False,CLR,M,False,False,2022-09-08 14:53:50+00:00
1_2022-09-08-15-10-12,3,10.0,False,False,False,CLR,M,False,False,2022-09-08 15:10:12+00:00
1_2022-09-08-15-26-34,7,10.0,False,False,False,CLR,M,False,False,2022-09-08 15:26:34+00:00
1_2022-09-08-15-43-01,5,10.0,False,False,False,CLR,M,False,False,2022-09-08 15:43:01+00:00
1_2022-09-08-15-48-29,6,10.0,False,False,False,CLR,M,False,False,2022-09-08 15:48:29+00:00
1_2022-09-08-15-53-55,5,10.0,False,False,False,CLR,M,False,False,2022-09-08 15:53:55+00:00
1_2022-09-08-15-59-33,5,10.0,False,False,False,CLR,M,False,False,2022-09-08 15:59:33+00:00
1_2022-09-08-16-05-06,3,10.0,False,False,False,CLR,M,False,False,2022-09-08 16:05:06+00:00
1_2022-09-08-16-10-37,4,10.0,False,False,False,CLR,M,False,False,2022-09-08 16:10:37+00:00
1_2022-09-08-16-43-47,2,10.0,False,False,False,CLR,M,False,False,2022-09-08 16:43:47+00:00
1_2022-09-08-16-54-46,5,10.0,False,False,False,CLR,M,False,False,2022-09-08 16:54:46+00:00
1_2022-09-08-17-11-26,4,10.0,False,False,False,CLR,M,False,False,2022-09-08 17:11:26+00:00
1_2022-09-08-17-16-57,3,10.0,False,False,False,CLR,M,False,False,2022-09-08 17:16:57+00:00
1_2022-09-08-17-32-03,2,10.0,False,False,False,CLR,M,False,False,2022-09-08 17:32:03+00:00
1_2022-09-08-18-13-33,2,10.0,False,False,False,CLR,M,False,False,2022-09-08 18:13:33+00:00
1_2022-09-08-18-51-08,3,10.0,False,False,False,CLR,M,False,False,2022-09-08 18:51:08+00:00
1_2022-09-08-19-46-14,1,10.0,False,False,False,CLR,M,False,False,2022-09-08 19:46:14+00:00
1_2022-09-09-06-39-17,1,10.0,False,False,False,CLR,M,False,False,2022-09-09 06:39:17+00:00
1_2022-09-09-07-11-24,1,10.0,False,False,False,CLR,M,False,False,2022-09-09 07:11:24+00:00
1_2022-09-09-07-34-00,1,10.0,False,False,False,CLR,M,False,False,2022-09-09 07:34:00+00:00
1_2022-09-09-07-40-25,1,10.0,False,False,False,CLR,M,False,False,2022-09-09 07:40:25+00:00
1_2022-09-09-07-44-48,2,10.0,False,False,False,CLR,M,False,False,2022-09-09 07:44:48+00:00
1_2022-09-09-08-00-31,2,10.0,False,False,False,FEW,4800,False,False,2022-09-09 08:00:31+00:00
1_2022-09-09-08-11-00,2,10.0,False,False,False,FEW,4800,False,False,2022-09-09 08:11:00+00:00
1_2022-09-09-08-32-55,3,10.0,False,False,False,FEW,4800,False,False,2022-09-09 08:32:55+00:00
1_2022-09-09-08-43-47,8,10.0,False,False,False,FEW,4800,False,False,2022-09-09 08:43:47+00:00
1_2022-09-09-08-54-39,2,10.0,False,False,False,FEW,4800,False,False,2022-09-09 08:54:39+00:00
1_2022-09-09-09-00-05,2,10.0,False,False,False,FEW,4900,False,False,2022-09-09 09:00:05+00:00
1_2022-09-09-09-05-31,3,10.0,False,False,False,FEW,4900,False,False,2022-09-09 09:05:31+00:00
1_2022-09-09-09-16-24,3,10.0,False,False,False,FEW,4900,False,False,2022-09-09 09:16:24+00:00
1_2022-09-09-09-35-21,2,10.0,False,False,False,FEW,4900,False,False,2022-09-09 09:35:21+00:00
1_2022-09-09-09-41-45,3,10.0,False,False,False,FEW,4900,False,False,2022-09-09 09:41:45+00:00
1_2022-09-09-09-47-12,2,10.0,False,False,False,FEW,4900,False,False,2022-09-09 09:47:12+00:00
1_2022-09-09-09-55-36,1,10.0,False,False,False,FEW,4900,False,False,2022-09-09 09:55:36+00:00
1_2022-09-09-10-05-03,2,10.0,False,False,False,BKN,7000,False,False,2022-09-09 10:05:03+00:00
1_2022-09-09-10-10-29,3,10.0,False,False,False,BKN,7000,False,False,2022-09-09 10:10:29+00:00
1_2022-09-09-10-15-55,4,10.0,False,False,False,BKN,7000,False,False,2022-09-09 10:15:55+00:00
1_2022-09-09-10-29-18,1,10.0,False,False,False,BKN,7000,False,False,2022-09-09 10:29:18+00:00
1_2022-09-09-10-34-23,5,10.0,False,False,False,BKN,7000,False,False,2022-09-09 10:34:23+00:00
1_2022-09-09-10-39-53,7,10.0,False,False,False,BKN,7000,False,False,2022-09-09 10:39:53+00:00
1_2022-09-09-10-46-25,1,10.0,False,False,False,BKN,7000,False,False,2022-09-09 10:46:25+00:00
1_2022-09-09-11-02-14,1,10.0,False,False,False,BKN,5500,False,False,2022-09-09 11:02:14+00:00
